맨스토리 [28-42 기획]남자 워싱 코튼 면스판 무지 밴딩 팬츠,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/28fd/be75578c47929d19d0725e41bc64d3beba73ea47751bdff256617a1019a6.jpg,23000,['XL(34)'],"['제조년도: 21년', '사용계절: 봄/가을용', '하의 밴딩 유무: 밴딩(고무줄) 있음', '소재: 면혼방', '팬츠 핏: 스트레이트/일자핏', '쿠팡상품번호: 4926055750 - 6464476732']"
스댕클럽 남성용 고탄력 워싱 밴드 스판 청바지 빅사이즈 SKD0959,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f12e/919517658869ca131f44d27a8afaeabe6c39eda361edb914b82edbd862b5.jpg,19000,['28(S)'],"['디테일: 워싱', '색상계열: 블루계열', '하의 사이즈: 남성 28~29인치', '쿠팡상품번호: 4964609173 - 6580613802']"
아도르클래식 핀턱 9부 남자 스판 밴딩슬랙스,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9fe9/d3c1057ad6a76ddf4d34062106cc0ff59fd69ec8fe6b1ff89d9409225527.jpg,22000,['XL(33~34)'],['쿠팡상품번호: 5163701235 - 7111648365']
스댕클럽 남성용 치즈스판 포켓 밴드 카고 면바지 BJ2665,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/17/15/7/00c26f73-0c6a-45b4-a4f0-131feec3c781.jpg,28000,['40(4XL)'],"['색상계열: 카키계열', '하의 사이즈: 남성 XXL 이상', '쿠팡상품번호: 4353791380 - 5111490001']"
빅사이즈클럽 케이씨 워싱 카고 조거 긴바지,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/20/12/8/9010182b-1ceb-4c90-943a-6dc365b9dc70.jpg,26000,['42(5XL)'],"['색상계열: 카키계열', '쿠팡상품번호: 2279154870 - 3913580952']"
모룸 9부 편한 스판 슬림핏 기본 면바지 6컬러,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/de85/9be50b3957ff7c97bd967ff5a42bf7869708436e7b3eef94ae89b3fa2d16.jpg,27000,['S(28~29)'],"['제조년도: 20년', '사용계절: 사계절용', '하의 밴딩 유무: 밴딩(고무줄) 없음', '소재: 면혼방', '팬츠 핏: 슬림핏', '쿠팡상품번호: 1765844368 - 3006808157']"
다꾸앙 남성용 패피 와이드 밴딩 면바지 C03G1_pc1926,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/03/15/3/435bc568-6875-4f7d-a1a3-0c1130bb5894.jpg,25000,['ONE'],"['색상계열: 그린계열', '하의 사이즈: 남성 FREE (one size)', '쿠팡상품번호: 2075785516 - 3526846488']"
빅사이즈클럽 남성용 크램프 롱 세미와이드 슬랙스,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/26/14/3/8d2833e7-24b6-4813-a33d-7d34708bd13c.jpg,31000,['42(5XL)'],"['색상계열: 블랙계열', '하의 사이즈: 남성 4XL (42인치~) 이상', '쿠팡상품번호: 1396071751 - 2431490840']"
[국내당일발송]블라크12 남자 테크웨어 카고조거팬츠 스트릿밴딩바지 C라인,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3fc7/e215d79935b696eac7c206cd2b5b2fab3da297649a5307c8080e8e64478c.jpg,17000,['L'],"['색상계열: 블랙계열', '하의 사이즈: 남성 L', '쿠팡상품번호: 1551059556 - 2653996143']"
르젠 마약 울트라스판 히든밴딩 면바지(LNPM408NJ),//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6bad/c2f7562f1201804f8a23bae3b7253c6c58076ca3fa011d301961fba60f08.jpg,17000,['L'],"['색상계열: 베이지계열', '하의 사이즈: 남성 L (32~33인치)', '쿠팡상품번호: 1744715993 - 2970738313']"
탑보이 남성용 스트링밴딩 찰떡스판 팬츠 (SCC3280PT),//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/35e7/d54aa7d3bf9bd4fee1984a3e0dc2662a4615073662419b4d2fef3af05a3f.jpg,23000,['L'],"['하의 사이즈: 남성 L (32~33인치)', '색상계열: 네이비계열', '신축성 유무: 신축성 있음', '팬츠 핏: 스트레이트/일자핏', '소재: 레이온', '쿠팡상품번호: 16748731 - 67860294']"
이루네 [S-4XL사이즈]남자 무릎 절개 디테일 고탄력 밴딩 조거 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/638f/7477fb81d19e50dc4e068e265ec3f76a741eff3b0a3fca22275b4f70cff0.jpg,29000,['XL(33~34 size)'],"['색상계열: 베이지계열', '하의 사이즈: 남성 32~33인치', '쿠팡상품번호: 2034609261 - 3459831268']"
로니제이 시크릿밴딩 스판 10부 슬림 일자 4계절 슬랙스 XS부터 5XL까지,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b7aa/305400f0955991514c23d859e70868414daf492c5bb5ea0c66bc849fd00d.jpg,22000,['XS( 26 )'],"['제조년도: 20년', '사용계절: 사계절용', '하의 밴딩 유무: 밴딩(고무줄) 있음', '소재: TR스판', '팬츠 핏: 스트레이트/일자핏', '쿠팡상품번호: 1483845149 - 2548865468']"
언코티드 발란스 팬츠 익스트림 컴피,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11471745785849-e1272f9c-6d88-49a0-bace-de2810402714.jpg,41000,['S(90)'],"['하의 밴딩 유무: 밴딩(고무줄) 있음', '색상계열: 그레이계열', '하의 사이즈: S', '쿠팡상품번호: 5197157475 - 7234177262']"
씨쏘 남성용 히든밴딩 감격 슬랙스 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/24/11/5/3ff60d57-5cde-4f27-80e5-c1a4a7d76392.jpg,21000,['28'],"['하의 사이즈: 남성 S (28~29인치)', '색상계열: 네이비', '앞주름: 주름없음', '소재: 폴리에스터/나일론', '쿠팡상품번호: 250967503 - 792202815']"
오마보이 남성용 마약 PR 밴딩 스판 팬츠 S~3XL,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dceb/1c2ecd0e571793c3c02b93e3e301baceb0cfd6af81957e6eb02e1763079f.jpg,17000,['30(M)'],"['하의 사이즈: 남성 M (30~31인치)', '색상계열: 네이비계열', '신축성 유무: 신축성 있음', '소재: 면혼방', '하의 밴딩 유무: 밴딩(고무줄) 있음', '쿠팡상품번호: 15885042 - 64974602']"
씨쏘 남성용 리턴2 울트라스판 긴바지,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/24/11/4/56b725d6-4cbc-4e22-a3d4-b32dacbcd046.jpg,17000,['28'],"['신축성 유무: 신축성 있음', '팬츠 핏: 스트레이트/일자핏', '소재: 레이온', '하의 밴딩 유무: 밴딩(고무줄) 없음', '색상계열: 그린계열', '쿠팡상품번호: 194425222 - 557620984']"
블루포스 남성용 정장바지 베르넌 사이드 밴딩슬렉스(JJSLM5) 빅사이즈 신사바지 남자슬랙스,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc7c/dfcecfe2748165b0260e90562f5a44eac4930b79be63b28ed3ef1ec2a9fc.jpg,25000,['2XL(36)'],"['소재: 폴리에스터/나일론', '앞주름: 주름없음', '색상계열: 그레이계열', '하의 사이즈: 남성 XXL (36~38인치) 이상', '쿠팡상품번호: 1241700825 - 2237451854']"
