간빠레 남성용 스판 반밴딩 카고 조거팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/da0d/cf303738e9f11549e643197578c0a5154ee756d243c926f3454083efb859.JPG,"45,000원",['S'],"['하의 밴딩 유무: 밴딩(고무줄) 없음', '소재: 면혼방', '팬츠 핏: 슬림핏', '신축성 유무: 신축성 있음', '색상계열: 베이지계열', '쿠팡상품번호: 1277780547 - 2284815137']",[]
씨쏘 남성용 리턴2 울트라스판 긴바지,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/24/11/8/f566f395-42f9-436d-b195-f2189c57832b.jpg,원,['32'],"['신축성 유무: 신축성 있음', '팬츠 핏: 스트레이트/일자핏', '소재: 레이온', '하의 밴딩 유무: 밴딩(고무줄) 없음', '색상계열: 베이지계열', '쿠팡상품번호: 194425222 - 557621128']",[]
토마토팩토리 여성용 밴딩 와이드팬츠 K1,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/09/9/2/96b567d2-f49e-4490-8b63-e8ef8ebccb58.jpg,"12,900원",['XL'],"['색상계열: 베이지계열', '하의 사이즈: 여성 XL (31~32인치)', '사용계절: 사계절용', '쿠팡상품번호: 1449115687 - 2495959126']",[]
캐럿 남성 스트레이트핏 히든밴딩 스판 슬랙스,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/198182745310740-985854af-e06d-44ca-946b-945d77810b3d.jpg,원,['28'],"['색상계열: 블랙계열', '하의 사이즈: 남성 28~29인치', '쿠팡상품번호: 1592154409 - 2720454526']",[]
스댕클럽 남성용 치즈스판 포켓 밴드 카고 면바지 BJ2665,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/17/15/7/00c26f73-0c6a-45b4-a4f0-131feec3c781.jpg,원,['40(4XL)'],"['색상계열: 카키계열', '하의 사이즈: 남성 XXL 이상', '쿠팡상품번호: 4353791380 - 5111490001']",[]
엔비룩 여성용 세상편한 슬랙스,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/23/10/7/13263a3c-aad9-4858-9e4c-fa0ba982c014.jpg,"23,000원",['S'],"['하의 사이즈: 여성 S', '색상계열: 베이지계열', '쿠팡상품번호: 306188209 - 965405197']",[]
캐럿 여성 스트레이트핏 스판 슬랙스,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269060132673844-69c910ac-7490-45c0-ba1b-443a2400f2d7.jpg,원,['S(44)'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 1592154641 - 2720454978']",[]
스댕클럽 남성용 고탄력 워싱 밴드 스판 청바지 빅사이즈 SKD0959,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f12e/919517658869ca131f44d27a8afaeabe6c39eda361edb914b82edbd862b5.jpg,"39,900원",['28(S)'],"['디테일: 워싱', '색상계열: 블루계열', '하의 사이즈: 남성 28~29인치', '쿠팡상품번호: 4964609173 - 6580613802']",[]
디와이진 남성용 카고 스판 허리 밴딩팬츠 ME056,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/177575066926307-3e9f4b71-95f0-49f9-bffc-51ae737db5e8.jpg,원,['28'],"['하의 사이즈: 남성 S (28~29인치)', '색상계열: 블루계열', '팬츠 핏: 슬림핏', '하의 밴딩 유무: 밴딩(고무줄) 있음', '디테일: 카고/아웃포켓', '쿠팡상품번호: 127467058 - 375808008']",[]
캐럿 여성용 스트레치 스키니진,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/410407425749236-9e46b472-2add-4bcb-93e8-e533cdb41575.jpg,원,['M'],"['디테일: 워싱', '색상계열: 블루계열', '하의 사이즈: 여성 M', '쿠팡상품번호: 1579122124 - 2699939145']",[]
매드시스터 데일리 무광 카고 조거 팬츠 GSO,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/81693546262447-f23b6e13-c568-46e2-bfb7-ca2817b9324f.jpg,원,['L'],"['색상계열: 블랙계열', '쿠팡상품번호: 4737550948 - 6015246721']",[]
캐럿 여성 밴딩 와이드 플리츠 팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/23693620788242-e76433d5-569c-4884-84da-18fd10d5e15a.jpg,원,['ONE'],"['색상계열: 블랙계열', '하의 사이즈: 여성 FREE (one size)', '쿠팡상품번호: 1740777148 - 2963668125']",[]
씨쏘 남성용 히든밴딩 10부 슬랙스 긴바지,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/08/19/5133261898/22e256ba-cc4c-4659-9f52-7ca901f7aeea.jpg,원,['36'],"['하의 사이즈: 남성 XXL (36~38인치) 이상', '색상계열: 블랙계열', '앞주름: 주름없음', '소재: 폴리에스터/나일론', '쿠팡상품번호: 267929863 - 840357962']",[]
